Housing-1
,Area_name,New houses,New other residential building,Total dwellings,Value of new houses,Value of new other residential building,Value of alterations & additions including conversions to residential building,Value of total residential building,Value of non-residential building,Value of total building
1,New South Wales,"28,562","25,708","54,689","12,100,206","9,333,358","3,866,540","25,300,103","16,824,564","42,124,667"
1GSYD,Greater Sydney,"16,057","20,775","37,125","7,090,407","7,765,111","2,792,897","17,648,416","12,711,649","30,360,065"
102,Central Coast,804,600,"1,411","281,928","191,360","143,997","617,285","309,057","926,342"
10201,Gosford,338,400,743,"140,283","125,224","103,850","369,357","222,416","591,773"
102011028,Avoca Beach - Copacabana,39,0,39,"18,878",0,"11,047","29,924","1,862","31,786"
102011029,Box Head - MacMasters Beach,33,5,40,"18,946","1,645","15,614","36,205",0,"36,205"
102011030,Calga - Kulnura,13,0,14,"5,665",0,"2,686","8,351","18,079","26,430"
102011031,Erina - Green Point,10,2,12,"5,338",450,"5,877","11,665","28,099","39,764"
102011032,Gosford - Springfield,19,209,228,"6,278","64,969","4,697","75,944","64,928","140,872"
102011033,Kariong,4,2,6,898,601,"1,655","3,155",0,"3,155"
102011034,Kincumber - Picketts Valley,9,0,9,"1,814",0,"3,399","5,213","36,604","41,816"
102011035,Narara,18,0,18,"5,106",0,"1,873","6,978",0,"6,978"
102011036,Niagara Park - Lisarow,22,0,22,"9,877",0,"2,197","12,074",866,"12,940"
102011037,Point Clare - Koolewong,6,0,6,"1,988",0,"2,327","4,315","24,703","29,018"
102011038,Saratoga - Davistown,13,0,13,"4,153",0,"6,212","10,364",0,"10,364"
102011039,Terrigal - North Avoca,25,30,55,"17,350","16,385","16,754","50,489","6,496","56,985"
102011040,Umina - Booker Bay - Patonga,63,102,167,"20,640","28,462","11,749","60,851","14,307","75,158"
102011041,Wamberal - Forresters Beach,24,35,59,"13,780","9,821","9,794","33,394","10,887","44,282"
102011042,Woy Woy - Blackwall,30,11,41,"6,936","1,850","4,936","13,721","11,575","25,296"
102011043,Wyoming,10,4,14,"2,639","1,040","3,034","6,713","4,011","10,724"
10202,Wyong,466,200,668,"141,646","66,136","40,147","247,928","86,641","334,569"
102021044,Bateau Bay - Killarney Vale,35,9,44,"11,099","2,458","7,927","21,484","4,636","26,120"
102021045,Blue Haven - San Remo,24,2,26,"4,330",400,"1,165","5,895","2,286","8,181"
102021046,Budgewoi - Buff Point - Halekulani,30,2,32,"6,995",490,"2,297","9,782",0,"9,782"
102021047,Chittaway Bay - Tumbi Umbi,44,4,48,"14,900","1,750","7,765","24,415","12,439","36,854"
102021048,Gorokan - Kanwal - Charmhaven,45,63,109,"8,665","13,909","2,312","24,886","9,482","34,368"
